ticker,shares,entry_price,entry_date,stop,stop_basis,thesis,invalidation,sleeve,last_updated
QQQ,6.0,684.0,2026-07-25,675.0,structure,,when the price drops below 670,,2026-07-25T11:39:31
VGT,174.8405,114.39,2026-07-26,108.98,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),"the regime reverts toward inflationary_repression/hard_repression, or the weekly RRG confirms Weakening with volume",VGT,2026-07-26T00:17:04
SMH,6.8945,580.17,2026-07-26,530.52,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),"same trigger as VGT — highest-beta growth expression, cut first on any reversal",SMH,2026-07-26T00:17:06
SLV,96.043,52.06,2026-07-26,48.29,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),the gold gate flips PASS and silver's own trend confirms,SLV,2026-07-26T00:17:07
XLE,84.2034,59.38,2026-07-26,57.2,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),"the weekly RRG rolls to Weakening, or energy re-spikes on renewed geopolitical/supply risk",XLE,2026-07-26T00:17:09
PDBC,166.113,18.06,2026-07-26,17.51,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),the same trigger as XLE — commodities move together on the inflation-impulse read,PDBC,2026-07-26T00:17:11
SCHD,396.3415,32.8,2026-07-26,32.09,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),"defensives show Weakening on the weekly RRG, or the regime reverts toward inflationary_repression",SCHD,2026-07-26T00:17:12
XLV,24.777,161.44,2026-07-26,155.91,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),the same trigger as SCHD — defensive-equity de-rating,XLV,2026-07-26T00:17:13
XLU,64.9491,46.19,2026-07-26,44.78,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),DFII10 momentum flips positive on two closes (removes the rate-relief case) or defensives roll to Weakening,XLU,2026-07-26T00:17:14
USFR,59.4413,50.47,2026-07-26,50.44,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),FOMC language kills the near-term hike/cut tail this position is priced for,USFR,2026-07-26T00:17:17
TLT,120.2357,83.17,2026-07-26,82.18,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),"DFII10 closes back above 2.50%, reversing the re-arm case",TLT,2026-07-26T00:17:18
KMLM,133.9585,29.86,2026-07-26,29.31,ATR-placeholder (2.0x14-day),Seeded from target_weights('neutral'),"60-day stock/bond correlation confirms below -0.30 (overlay and live signal converge), or the live kmlm_signal() stance itself rolls",KMLM,2026-07-26T00:17:19
